Voie;Date de publication;Type;Sous-type;Note du rapport;Confiance;Fiabilité;Type de route;magvar;pubMillis;geom;uuid
Rue de la Brot;2024-10-31T07:38:35+01:00;HAZARD;HAZARD_ON_SHOULDER_CAR_STOPPED;2;5;10;Rues;204;1730356715000;47.348154, 5.073244;81b547d5-df36-48f9-bfca-9f17d6c05f67
M971;2024-10-31T08:29:00+01:00;HAZARD;HAZARD_ON_ROAD;2;0;5;Primaire;359;1730359740000;47.373156, 4.951478;954bc75b-847e-438a-a005-036c46917bf2
Boulevard de l'Ouest;2024-10-30T13:13:47+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;0;0;6;Primaire;359;1730290427000;47.324719, 5.01576;83c1fed4-2c2c-4211-b5fb-8e0a75303d72
M108;2024-10-31T07:03:38+01:00;HAZARD;HAZARD_WEATHER_FOG;1;5;10;Rue principale;284;1730354618000;47.289571, 4.955965;9984900e-8cbd-4706-8b51-7925eee5e552
Rue de Chèvre Morte;2024-09-18T19:29:24+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;5;10;Rues;22;1726680564000;47.322609, 5.011498;14705d5f-b32c-4bc6-ba5c-828df150bbea
Rue de la Stéarinerie;2024-10-28T08:49:18+01:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;7;Rue principale;355;1730101758000;47.307311, 5.033987;ae12adc0-1bc4-4619-9787-3a60f96319a8
Mail du Capitaine Guynemer;2024-01-02T13:00:10+01:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;0;5;10;Rues;21;1704196810000;47.299489, 5.056266;c701b119-3ea3-41f8-ac6f-ca63bb57612b
Rue Charles Suisse;2024-10-30T11:52:50+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;4;1;8;Rues;293;1730285570000;47.333685, 5.025808;6a90778a-1962-4ec9-980f-d4b73f61f099
Rue du Clos des Aiges;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;1;8;Rues;305;1723628331000;47.365028, 5.022087;3fee5a91-35c9-4693-8866-b2017e94ad69
M700;2024-10-31T06:20:32+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;1;5;10;Secondaire;314;1730352032000;47.338632, 5.106719;173c0479-c0d2-4bc5-9962-615fd3c7a836
M108;2024-10-31T08:29:38+01:00;HAZARD;HAZARD_WEATHER_FOG;1;1;7;Rue principale;104;1730359778000;47.289914, 4.954071;79b87f88-1b78-4b8f-86dd-03c7aca015db
;2024-10-30T12:45:13+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;3;0;6;Route privée;216;1730288713000;47.280403, 5.051216;d2cc6e81-f75f-4c48-a93e-e793f1114dd9
M108;2024-10-31T06:48:01+01:00;HAZARD;HAZARD_WEATHER_FOG;4;5;10;Rue principale;167;1730353681000;47.293935, 4.946851;92f09039-7e18-4df7-b8c1-d94756cfc116
Rue de Malines;2024-10-31T01:37:11+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;0;5;10;Rue principale;124;1730335031000;47.351636, 5.065483;c2af8ace-b143-4250-b0ec-74548922b5c7
Rue de l'Ingénieur Georges Stephenson;2024-10-30T09:16:59+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;1;5;10;Rues;320;1730276219000;47.296334, 5.037035;506b7731-e07e-4ba7-8fa0-833cdaef9372
Rue du Clos de Bèze;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;6;Rues;195;1723628331000;47.365028, 5.022087;0fa631a3-cefa-435e-8843-7c56bc8a8968
M108;2024-10-31T06:50:27+01:00;HAZARD;HAZARD_WEATHER_FOG;4;4;10;Rue principale;110;1730353827000;47.283672, 4.97345;fe65c963-b9ba-45d9-87a7-6d4d136e93ae
Rue des Perrières;2024-10-31T09:36:16+01:00;JAM;;0;0;5;Rues;273;1730363776000;47.324286, 5.029476;068c2076-9ff6-49e3-acc6-e38f81ba2db7
D104;2024-10-31T07:14:14+01:00;HAZARD;HAZARD_WEATHER_FOG;3;4;10;Rue principale;79;1730355254000;47.372319, 4.889713;a4996077-66a0-41ca-bfec-aa61add0c89b
M971;2024-10-31T06:57:13+01:00;HAZARD;HAZARD_WEATHER_FOG;2;5;10;Primaire;305;1730354233000;47.365163, 4.971304;90bb668a-6a6b-445a-8981-0c3d78e6c52b
Sortie 47: Marsannay-la-Côte;2024-10-31T09:18:44+01:00;ACCIDENT;;5;0;5;Rampes;217;1730362724000;47.271656, 5.03855;55834876-f84f-4cc4-a98b-32f57a6f124b
Place du Pressoir;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;7;Rues;98;1723628331000;47.365348, 5.020512;2c0515ca-857f-442c-a668-9aa8163e111c
D974;2024-10-31T07:10:49+01:00;HAZARD;HAZARD_WEATHER_FOG;0;5;10;Primaire;208;1730355049000;47.388904, 5.056601;a0d366ec-abd2-45c7-8085-af55c28d6b18
D905;2024-10-31T09:07:42+01:00;HAZARD;HAZARD_ON_SHOULDER_CAR_STOPPED;2;5;10;Primaire;107;1730362062000;47.255443, 5.15997;570108e6-0713-4d20-80a2-ae2d8644273c
Rue des Fassoles;2024-10-30T16:49:52+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;2;5;10;Rues;202;1730303392000;47.333588, 5.008613;210e2573-ed6d-4a99-9b52-f5e6c541750c
;2024-10-31T08:15:40+01:00;HAZARD;HAZARD_ON_ROAD;0;0;5;Route privée;359;1730358940000;47.343219, 5.183101;92fad092-42ee-4c55-aba4-422caf6105c9
Rue des Longènes;2024-10-31T09:18:15+01:00;HAZARD;HAZARD_ON_SHOULDER_CAR_STOPPED;1;2;9;Rue principale;127;1730362695000;47.326868, 5.078133;4e98073b-f7bb-46ca-a9b8-067d880d9758
M108g;2024-10-31T08:27:16+01:00;HAZARD;HAZARD_WEATHER_FOG;1;3;10;Rue principale;109;1730359636000;47.29686, 4.942121;db098aa3-226f-400d-8eef-2ac31092786e
Sortie 47: Marsannay-la-Côte;2024-10-31T09:06:59+01:00;ACCIDENT;;3;5;10;Rampes;70;1730362019000;47.27236, 5.039634;87b9c896-f768-4de6-89d5-8cf06787d35d
M974;2024-10-31T08:53:26+01:00;HAZARD;HAZARD_WEATHER_FOG;0;5;10;Primaire;17;1730361206000;47.376835, 5.05098;a1c32662-f3e0-4d08-b035-15c3f045f357
;2024-10-31T08:12:39+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;2;2;9;Rue principale;315;1730358759000;47.287626, 5.157853;e4f3aae3-3fdf-4b11-8c1a-a1359de96ba0
Rue du Marais;2024-10-31T08:10:39+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;2;3;10;Rue principale;287;1730358639000;47.27709, 5.173736;35d3ec27-7209-490e-93e6-f0d176bdd104
M971;2024-10-31T08:35:04+01:00;HAZARD;HAZARD_WEATHER_FOG;2;5;10;Primaire;323;1730360104000;47.359195, 4.977419;3fbd1dc9-2df0-47b3-acf1-2ab605bc7b41
M108;2024-10-31T08:08:08+01:00;HAZARD;HAZARD_WEATHER_FOG;3;1;7;Rue principale;199;1730358488000;47.315715, 4.921603;d7a0111b-743f-4da1-b572-7695d9395608
Rue de Chèvre Morte;2024-09-18T11:46:50+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;6;Rues;21;1726652810000;47.323439, 5.011988;fde0f7e8-d5be-4beb-9261-211d515d7a04
M107;2024-10-31T06:46:56+01:00;HAZARD;HAZARD_WEATHER_FOG;3;1;7;Rue principale;237;1730353616000;47.361433, 4.990514;c524f8ac-80e8-4ba7-8726-c4b115b2ae94
Rue Pierre Lauterbach;2024-10-25T08:39:47+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;1;8;Rues;239;1729838387000;47.284954, 5.046074;1a8f341a-7895-4b3e-a263-cf6d08e2f3ce
D971;2024-10-31T06:59:40+01:00;HAZARD;HAZARD_WEATHER_FOG;2;5;10;Primaire;334;1730354380000;47.381973, 4.943964;5f49ba19-61b7-4db2-9e67-8be4219320ca
M124;2024-10-28T17:33:52+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;3;5;10;Primaire;114;1730133232000;47.280655, 5.051236;e864349d-7af5-4fd3-8ad2-7ebc45893742
